tracking_status,review_priority,scout_priority,scout_reasons,person_id,display_name,full_title,mekhq_status,rank,primary_role,secondary_role,unit_id,unit_name,crew_role,formation_id,formation_name,employed,deployed,joined_campaign,recruitment_date,salary,highest_education,education_status,education_stage,school_name,program_name,credential_or_qualification,target_role,enrolled_on,expected_graduation,graduated_on,days_remaining,journey_time_days,travel_days_elapsed,requires_assignment_review,latest_education_event,warrior_skills,skill_summary,notable_traits_or_options,traits_or_options_summary,target_job,assignment_action,review_note
enrolled_current,high,high,combat/aerospace skills: Leadership L1/FV7; martial education program: MekWarrior Academy,963f9d30-c387-4877-994d-1079298a4032,Durgadasa Szczepanski-Nitesha,Recruit Durgadasa Szczepanski-Nitesha,Student,Recruit,Militia Leader,None,Unknown,Unknown,Unknown,Unknown,Unknown,true,false,3033-07-22,3040-07-16,100 C-Bill,College,in_transit_to_school,Journeying to Campus,Remshield Military Polytechnic of Advanced Technology,MekWarrior Academy,MekWarrior Academy,MekWarrior Academy,3040-07-16,3045-09-10,Unknown,600,2,1282,false,Enrolled at Remshield Military Polytechnic of Advanced Technology studying a MekWarrior Academy course.,Leadership L1/FV7,Investigation L1/FV8; Language/Any L1/FV7; Leadership L1/FV7; Protocols/Any L0/FV8; Small Arms L1/FV7; Survival/Any L1/FV8,,,,,MekHQ currently marks this person as Student; keep on the school roster until status changes.
enrolled_current,high,high,martial education program: Flight Academy,9245a693-df6a-4aab-809d-b12b716ac1c4,Silvie Sakala,Recruit Silvie Sakala,Student,Recruit,Dependent,None,Unknown,Unknown,Unknown,Unknown,Unknown,true,false,3034-05-05,3040-07-16,34 C-Bill,College,in_transit_to_school,Journeying to Campus,Military University of Remshield,Flight Academy,Flight Academy,Flight Academy,3040-07-16,3045-09-10,Unknown,600,2,1282,false,Enrolled at Military University of Remshield studying a Flight Academy course.,,Cryptography L0/FV8; Interest/Economics L1/FV7; Swimming L1/FV6,,,,,MekHQ currently marks this person as Student; keep on the school roster until status changes.
enrolled_current,high,low,no warrior-candidate signal in compact summaries,0a80ca78-2926-43bc-bd05-6bd038a0542e,Marquart Beiro,Recruit Marquart Beiro,Student,Recruit,Dependent,None,Unknown,Unknown,Unknown,Unknown,Unknown,true,false,3034-06-30,3040-07-16,34 C-Bill,Early Childhood,in_transit_to_school,Journeying to Campus,Remshield Academy of Advanced Studies,Private Education,Private Education,Private Education,3040-07-16,3044-01-29,Unknown,10,2,1282,false,Enrolled at Remshield Academy of Advanced Studies studying a Private Education course.,,,,,,,MekHQ currently marks this person as Student; keep on the school roster until status changes.
enrolled_current,high,low,no warrior-candidate signal in compact summaries,adea7e29-e7b5-4d84-9df4-71e02d4e08c3,Chui-Wai Wickenden,Recruit Chui-Wai Wickenden,Student,Recruit,Dependent,None,Unknown,Unknown,Unknown,Unknown,Unknown,true,false,3034-09-10,3040-07-16,34 C-Bill,Early Childhood,in_transit_to_school,Journeying to Campus,Institute of Remshield,MekTech Apprenticeship,MekTech Apprenticeship,MekTech Apprenticeship,3040-07-16,3044-01-30,Unknown,11,2,1282,false,Enrolled at Institute of Remshield studying a MekTech Apprenticeship course.,,,,,,,MekHQ currently marks this person as Student; keep on the school roster until status changes.
enrolled_current,high,low,no warrior-candidate signal in compact summaries,30fee3a4-a3ac-4a87-ba56-319e4839d87b,Donald Cardoza,Recruit Donald Cardoza,Student,Recruit,Professional,None,Unknown,Unknown,Unknown,Unknown,Unknown,true,false,3034-12-27,3040-07-16,100 C-Bill,Early Childhood,in_transit_to_school,Journeying to Campus,Remshield Institute of Advanced Studies,General Education,General Education,General Education,3040-07-16,3044-06-17,Unknown,150,2,1282,false,Enrolled at Remshield Institute of Advanced Studies studying a General Education course.,,Acrobatics L1/FV5; Animal Handling L1/FV7; Career/Any L1/FV6; Interest/Astrology L1/FV8; Running L1/FV5,,,,,MekHQ currently marks this person as Student; keep on the school roster until status changes.
enrolled_current,high,high,combat/aerospace skills: Strategy L0/FV9; martial education program: Black Naval Academy,b07d2fe1-9762-42d2-bcb2-5c2ecd25da67,Oliver Haward,Recruit Oliver Haward,Student,Recruit,Astrographer,None,Unknown,Unknown,Unknown,Unknown,Unknown,true,false,3034-12-27,3040-07-16,100 C-Bill,High School,in_transit_to_school,Journeying to Campus,Advanced Warfighting Polytechnic of Remshield,Black Naval Academy,Black Naval Academy,Black Naval Academy,3040-07-16,3045-09-10,Unknown,600,2,1282,false,Enrolled at Advanced Warfighting Polytechnic of Remshield studying a Black Naval Academy course.,Strategy L0/FV9,Acrobatics L2/FV5; Cryptography L1/FV8; Interest/Cartography L2/FV7; Navigation/Any L2/FV5; Security Systems/Mechanical L1/FV8; Strategy L0/FV9,,,,,MekHQ currently marks this person as Student; keep on the school roster until status changes.
enrolled_current,high,high,martial education program: MekWarrior Academy,786f7a70-ed16-4cd1-964c-2780620b17c4,Zakayo Catanzara,Recruit Zakayo Catanzara,Student,Recruit,Cultist,None,Unknown,Unknown,Unknown,Unknown,Unknown,true,false,3034-12-27,3040-07-16,100 C-Bill,High School,in_transit_to_school,Journeying to Campus,Remshield War Polytechnic of Technology,MekWarrior Academy,MekWarrior Academy,MekWarrior Academy,3040-07-16,3045-09-10,Unknown,600,2,1282,false,Enrolled at Remshield War Polytechnic of Technology studying a MekWarrior Academy course.,,Acrobatics L1/FV5; Art/Writing L0/FV8; Career/Any L0/FV7; Interest/Theology L1/FV7; Melee Weapons L1/FV5; Security Systems/Mechanical L1/FV7; Swimming L2/FV5,,,,,MekHQ currently marks this person as Student; keep on the school roster until status changes.
enrolled_current,high,high,martial education program: Flight Academy,cb5cf402-64be-41b6-a8fb-fc8450b91698,Dejan Harlos,Recruit Dejan Harlos,Student,Recruit,Professional,None,Unknown,Unknown,Unknown,Unknown,Unknown,true,false,3035-03-01,3040-07-16,168 C-Bill,High School,in_transit_to_school,Journeying to Campus,Remshield Combined Forces School of Technology,Flight Academy,Flight Academy,Flight Academy,3040-07-16,3045-09-10,Unknown,600,2,1282,false,Enrolled at Remshield Combined Forces School of Technology studying a Flight Academy course.,,Art/Cooking L0/FV9; Career/Any L2/FV5; Cryptography L1/FV8; Investigation L1/FV8,,,,,MekHQ currently marks this person as Student; keep on the school roster until status changes.
enrolled_current,high,high,martial education program: Advanced War Fighting Academy,ca538150-cba2-4a15-af00-aab959381a88,Fia Ortíz,Recruit Fia Ortíz,Student,Recruit,Scandal Fixer,None,Unknown,Unknown,Unknown,Unknown,Unknown,true,false,3035-03-01,3040-07-16,100 C-Bill,High School,in_transit_to_school,Journeying to Campus,War School of Remshield,Advanced War Fighting Academy,Advanced War Fighting Academy,Advanced War Fighting Academy,3040-07-16,3045-09-10,Unknown,600,2,1282,false,Enrolled at War School of Remshield studying a Advanced War Fighting Academy course.,,Career/Any L1/FV6; Interest/Pop-Culture L1/FV8; Investigation L3/FV6; Protocols/Any L1/FV7; Streetwise/Any L1/FV7,,,,,MekHQ currently marks this person as Student; keep on the school roster until status changes.
enrolled_current,high,high,combat/aerospace skills: Strategy L1/FV8; Tactics/Any L1/FV8; martial education program: Flight Academy,a30f7942-de80-4223-9877-5164f808bd5a,Mary bin Fahd,Recruit Mary bin Fahd,Student,Recruit,Professional,None,Unknown,Unknown,Unknown,Unknown,Unknown,true,false,3035-03-01,3040-07-16,536 C-Bill,Post-Graduate,in_transit_to_school,Journeying to Campus,Remshield Combined Arms Polytechnic of Advanced Technology,Flight Academy,Flight Academy,Flight Academy,3040-07-16,3045-09-10,Unknown,600,2,1282,false,Enrolled at Remshield Combined Arms Polytechnic of Advanced Technology studying a Flight Academy course.,Strategy L1/FV8; Tactics/Any L1/FV8,Animal Handling L1/FV7; Career/Any L4/FV3; Strategy L1/FV8; Tactics/Any L1/FV8,,,,,MekHQ currently marks this person as Student; keep on the school roster until status changes.
enrolled_current,high,high,combat/aerospace skills: Gunnery/Mek L2/FV5; Piloting/Mek L2/FV5,438c35b2-4bb7-4a21-ae64-a3b81a6eafa7,Robert Qu,Recruit Robert Qu,Student,Recruit,Dependent,None,Unknown,Unknown,Unknown,Unknown,Unknown,true,false,3035-03-01,3039-07-25,34 C-Bill,Early Childhood,in_transit_to_school,Journeying to Campus,College of Remshield,General Education,General Education,General Education,3040-07-16,3044-06-17,Unknown,150,2,1282,false,Enrolled at College of Remshield studying a General Education course.,Gunnery/Mek L2/FV5; Piloting/Mek L2/FV5,Gunnery/Mek L2/FV5; Piloting/Mek L2/FV5; Survival/Any L0/FV9,,Significant Compulsion - Hates Bionics (ATOW),,,MekHQ currently marks this person as Student; keep on the school roster until status changes.
enrolled_current,high,high,martial education program: Flight Academy,9d6ecbee-14f0-49f4-9016-4e857713e4de,Sudevi Ceralde,Recruit Sudevi Ceralde,Student,Recruit,Lawyer,None,Unknown,Unknown,Unknown,Unknown,Unknown,true,false,3035-04-08,3040-07-16,168 C-Bill,College,in_transit_to_school,Journeying to Campus,Remshield Advanced Warfighting Academy of Higher Learning,Flight Academy,Flight Academy,Flight Academy,3040-07-16,3045-09-10,Unknown,600,2,1282,false,Enrolled at Remshield Advanced Warfighting Academy of Higher Learning studying a Flight Academy course.,,Interest/Law L2/FV7; Negotiation L2/FV6; Science/Genetics L0/FV9,,,,,MekHQ currently marks this person as Student; keep on the school roster until status changes.
enrolled_current,high,high,martial education program: MekWarrior Academy,dd173a5d-24ff-4a94-a8f8-a704d6801265,Michael King-Stasinopoulos,Recruit Michael King-Stasinopoulos,Student,Recruit,Professional,None,Unknown,Unknown,Unknown,Unknown,Unknown,true,false,3035-09-14,3040-07-16,268 C-Bill,High School,in_transit_to_school,Journeying to Campus,Remshield War University of Advanced Science,MekWarrior Academy,MekWarrior Academy,MekWarrior Academy,3040-07-16,3045-09-10,Unknown,600,2,1282,false,Enrolled at Remshield War University of Advanced Science studying a MekWarrior Academy course.,,Career/Any L2/FV4; Security Systems/Mechanical L1/FV8,,,,,MekHQ currently marks this person as Student; keep on the school roster until status changes.
enrolled_current,high,low,no warrior-candidate signal in compact summaries,126bfbcf-37d5-490e-a1c6-2792ec32a2b9,Achaius Beiro,Recruit Achaius Beiro,Student,Recruit,Dependent,None,Unknown,Unknown,Unknown,Unknown,Unknown,true,false,3035-11-23,3040-07-16,34 C-Bill,Early Childhood,in_transit_to_school,Journeying to Campus,Preparatory School of Remshield,Private Education,Private Education,Private Education,3040-07-16,3044-01-29,Unknown,10,2,1282,false,Enrolled at Preparatory School of Remshield studying a Private Education course.,,,,,,,MekHQ currently marks this person as Student; keep on the school roster until status changes.
enrolled_current,high,low,no warrior-candidate signal in compact summaries,4d9598d4-6d90-49cd-9ae5-fa3e4a32bc9c,Jacob Ru,Recruit Jacob Ru,Student,Recruit,Dependent,None,Unknown,Unknown,Unknown,Unknown,Unknown,true,false,3036-05-23,3040-07-16,34 C-Bill,Early Childhood,in_transit_to_school,Journeying to Campus,Preparatory School of Remshield,Private Education,Private Education,Private Education,3040-07-16,3044-01-29,Unknown,10,2,1282,false,Enrolled at Preparatory School of Remshield studying a Private Education course.,,,,,,,MekHQ currently marks this person as Student; keep on the school roster until status changes.
enrolled_current,high,low,no warrior-candidate signal in compact summaries,73742609-dd40-4a96-8160-eb82c408ea06,Hideki Chabert,Recruit Hideki Chabert,Student,Recruit,Dependent,None,Unknown,Unknown,Unknown,Unknown,Unknown,true,false,3036-07-01,3040-07-16,34 C-Bill,Early Childhood,in_transit_to_school,Journeying to Campus,Academy of Remshield,High School Education,High School Education,High School Education,3040-07-16,3044-01-30,Unknown,11,2,1282,false,Enrolled at Academy of Remshield studying a High School Education course.,,Animal Handling L1/FV7; Career/Any L1/FV6; Swimming L2/FV4,,Coordinator (Unofficial),,,MekHQ currently marks this person as Student; keep on the school roster until status changes.
enrolled_current,high,high,combat/aerospace skills: Piloting/Ground Vehicle L3/FV4; martial education program: MekWarrior Academy,ab0c6406-d9c8-42c5-a465-02d2f7c9ed62,Owen Butler,Recruit Owen Butler,Student,Recruit,Paramedic,None,Unknown,Unknown,Unknown,Unknown,Unknown,true,false,3036-10-16,3040-07-16,536 C-Bill,Post-Graduate,in_transit_to_school,Journeying to Campus,Remshield Combined Arms School of Technology,MekWarrior Academy,MekWarrior Academy,MekWarrior Academy,3040-07-16,3045-09-10,Unknown,600,2,1282,false,Enrolled at Remshield Combined Arms School of Technology studying a MekWarrior Academy course.,Piloting/Ground Vehicle L3/FV4,Investigation L1/FV6; MedTech/Any L3/FV3; Piloting/Ground Vehicle L3/FV4,,,,,MekHQ currently marks this person as Student; keep on the school roster until status changes.
enrolled_current,high,high,combat/aerospace skills: Tactics/Any L0/FV8; martial education program: Advanced War Fighting Academy,6e969a12-fd53-4f6e-b8aa-ea22a9fa9b0b,Geneva Hellevik,Recruit Geneva Hellevik,Student,Recruit,Dependent,None,Unknown,Unknown,Unknown,Unknown,Unknown,true,false,3037-03-27,3040-07-16,34 C-Bill,High School,in_transit_to_school,Journeying to Campus,Combined Arms School of Remshield,Advanced War Fighting Academy,Advanced War Fighting Academy,Advanced War Fighting Academy,3040-07-16,3045-09-10,Unknown,600,2,1282,false,Enrolled at Combined Arms School of Remshield studying a Advanced War Fighting Academy course.,Tactics/Any L0/FV8,Animal Handling L1/FV6; Career/Any L2/FV5; Support Weapons L1/FV6; Tactics/Any L0/FV8,,,,,MekHQ currently marks this person as Student; keep on the school roster until status changes.
enrolled_current,high,high,combat/aerospace skills: Leadership L1/FV6; martial education program: Flight Academy,f3ab92b6-385d-4751-86f6-21ea5d82315c,Sagramor Peres,Recruit Sagramor Peres,Student,Recruit,Repair Bay Supervisor,None,Unknown,Unknown,Unknown,Unknown,Unknown,true,false,3037-05-29,3040-07-16,100 C-Bill,High School,in_transit_to_school,Journeying to Campus,Remshield Advanced Warfighting Institute of Higher Learning,Flight Academy,Flight Academy,Flight Academy,3040-07-16,3045-09-10,Unknown,600,2,1282,false,Enrolled at Remshield Advanced Warfighting Institute of Higher Learning studying a Flight Academy course.,Leadership L1/FV6,Leadership L1/FV6; Protocols/Any L1/FV6; Science/Mathematics L1/FV8; Small Arms L1/FV7; Swimming L1/FV6; Tech/Mechanic L1/FV8,,,,,MekHQ currently marks this person as Student; keep on the school roster until status changes.
enrolled_current,high,high,martial education program: Advanced AeroSpace Technologies,3c488b74-9a97-4efc-990a-145d306e6b96,Manon Oberle,Recruit Manon Oberle,Student,Recruit,Tailor,None,Unknown,Unknown,Unknown,Unknown,Unknown,true,false,3037-07-03,3040-07-16,268 C-Bill,College,in_transit_to_school,Journeying to Campus,School of Remshield,Advanced AeroSpace Technologies,Advanced AeroSpace Technologies,Advanced AeroSpace Technologies,3040-07-16,3045-09-10,Unknown,600,2,1282,false,Enrolled at School of Remshield studying a Advanced AeroSpace Technologies course.,,Animal Handling L0/FV8; Art/Other L3/FV5; Interest/Fashion L3/FV5; Science/Other L1/FV7; Training L0/FV8,,,,,MekHQ currently marks this person as Student; keep on the school roster until status changes.
enrolled_current,high,high,martial education program: MekWarrior Academy,ffe11b39-5c90-4bb5-861d-a877532736f2,Aleixos Ciocchi,Recruit Aleixos Ciocchi,Student,Recruit,Miner,None,Unknown,Unknown,Unknown,Unknown,Unknown,true,false,3037-11-20,3040-07-16,168 C-Bill,College,in_transit_to_school,Journeying to Campus,Combined Arms College of Remshield,MekWarrior Academy,MekWarrior Academy,MekWarrior Academy,3040-07-16,3045-09-10,Unknown,600,2,1282,false,Enrolled at Combined Arms College of Remshield studying a MekWarrior Academy course.,,Cryptography L1/FV8; Demolitions L3/FV6; Science/Pharmacology L1/FV8; Tech/Mechanic L3/FV6,,,,,MekHQ currently marks this person as Student; keep on the school roster until status changes.
enrolled_current,high,low,no warrior-candidate signal in compact summaries,7c9b9a78-e13d-41bd-bf5a-98e310d2c695,Nichelle Polychronopoulos,Recruit Nichelle Polychronopoulos,Student,Recruit,Livestock Farmer,None,Unknown,Unknown,Unknown,Unknown,Unknown,true,false,3038-01-01,3040-07-16,168 C-Bill,Early Childhood,in_transit_to_school,Journeying to Campus,Remshield College of Higher Learning,General Education,General Education,General Education,3040-07-16,3044-06-17,Unknown,150,2,1282,false,Enrolled at Remshield College of Higher Learning studying a General Education course.,,Animal Handling L0/FV7; Career/Any L1/FV5; Computers L1/FV7; Cryptography L1/FV6; Investigation L2/FV5; Science/Xenobiology L2/FV5; Swimming L1/FV6,,,,,MekHQ currently marks this person as Student; keep on the school roster until status changes.
enrolled_current,high,high,combat/aerospace skills: Strategy L0/FV9; Tech/Mek L3/FV6,97f968bd-783d-45ea-aeb0-69d9ccd55dd1,Akustiy bin Harun,Recruit Akustiy bin Harun,Student,Recruit,Astech Trainer,None,Unknown,Unknown,Unknown,Unknown,Unknown,true,false,3038-03-01,3040-07-16,168 C-Bill,High School,in_transit_to_school,Journeying to Campus,Remshield Institute of Advanced Studies,Advanced BattleMek Technologies,Advanced BattleMek Technologies,Advanced BattleMek Technologies,3040-07-16,3045-09-10,Unknown,600,2,1282,false,Enrolled at Remshield Institute of Advanced Studies studying a Advanced BattleMek Technologies course.,Strategy L0/FV9; Tech/Mek L3/FV6,Animal Handling L1/FV7; Art/Cooking L1/FV8; Computers L2/FV7; Science/Physics L1/FV8; Security Systems/Electronic L2/FV7; Sensor Operations L1/FV7; Strategy L0/FV9; Streetwise/Any L1/FV7; Tech/Mek L3/FV6; Training L3/FV6,,,,,MekHQ currently marks this person as Student; keep on the school roster until status changes.
enrolled_current,high,low,no warrior-candidate signal in compact summaries,0a7a511b-5eb1-4bfc-b665-dfde74e0e022,Jeremy Rotheberg,Recruit Jeremy Rotheberg,Student,Recruit,Dependent,None,Unknown,Unknown,Unknown,Unknown,Unknown,true,false,3038-03-01,3039-07-25,34 C-Bill,Early Childhood,enrolled,Undergoing Education,Capricorn III Institute of Advanced Science,Private Education,Private Education,Private Education,3041-09-03,3044-01-29,Unknown,10,2,1,false,Enrolled at Capricorn III Institute of Advanced Science studying a Private Education course.,,,,,,,MekHQ currently marks this person as Student; keep on the school roster until status changes.
enrolled_current,high,low,no warrior-candidate signal in compact summaries,a687d913-ab25-41fd-a15c-a64390045366,Tayla De Jesús,Recruit Tayla De Jesús,Student,Recruit,Dependent,None,Unknown,Unknown,Unknown,Unknown,Unknown,true,false,3038-05-07,3040-07-16,34 C-Bill,Early Childhood,in_transit_to_school,Journeying to Campus,Remshield Institute of Science,Daycare,Daycare,Daycare,3040-07-16,3044-01-29,Unknown,10,2,1282,false,Enrolled at Remshield Institute of Science studying a Daycare course.,,,,,,,MekHQ currently marks this person as Student; keep on the school roster until status changes.
enrolled_current,high,high,notable traits/options: Toughness (ATOW); martial education program: Flight Academy,c2194e97-8ca0-4ca1-acc8-549b8d27b577,Aongus Herrera,Recruit Aongus Herrera,Student,Recruit,Dependent,None,Unknown,Unknown,Unknown,Unknown,Unknown,true,false,3038-05-18,3039-07-25,34 C-Bill,High School,in_transit_to_school,Journeying to Campus,Remshield Advanced Warfighting College of Advanced Science,Flight Academy,Flight Academy,Flight Academy,3040-07-16,3045-09-10,Unknown,600,2,1282,false,Enrolled at Remshield Advanced Warfighting College of Advanced Science studying a Flight Academy course.,,Computers L0/FV9; Language/Any L1/FV7; Protocols/Any L1/FV7,Toughness (ATOW),Toughness (ATOW),,,MekHQ currently marks this person as Student; keep on the school roster until status changes.
enrolled_current,high,low,no warrior-candidate signal in compact summaries,71d9af87-fa0a-440c-ade3-13af663e3c71,Mike Takahashi,Recruit Mike Takahashi,Student,Recruit,Dependent,None,Unknown,Unknown,Unknown,Unknown,Unknown,true,false,3038-05-18,3040-07-16,34 C-Bill,Early Childhood,in_transit_to_school,Journeying to Campus,Institute of Remshield,Private Education,Private Education,Private Education,3040-07-16,3044-01-29,Unknown,10,2,1282,false,Enrolled at Institute of Remshield studying a Private Education course.,,,,,,,MekHQ currently marks this person as Student; keep on the school roster until status changes.
enrolled_current,high,high,martial education program: Flight Academy,14912f57-a325-40a5-b6b7-69ffa3628dd0,Misano Takahashi,Recruit Misano Takahashi,Student,Recruit,Tech/Communications,None,Unknown,Unknown,Unknown,Unknown,Unknown,true,false,3038-05-18,3040-07-16,268 C-Bill,High School,in_transit_to_school,Journeying to Campus,War Institute of Remshield,Flight Academy,Flight Academy,Flight Academy,3040-07-16,3045-09-10,Unknown,600,2,1282,false,Enrolled at War Institute of Remshield studying a Flight Academy course.,,Acrobatics L1/FV5; Communications/Any L4/FV3; Cryptography L0/FV9; Tech/Mechanic L4/FV5,,,,,MekHQ currently marks this person as Student; keep on the school roster until status changes.
